camera_id,url_image,road,km,latitude,longitude
266,http://infocar.dgt.es/etraffic/data/camaras/266.jpg,A-92,178.7,37.1402,-4.27335
267,http://infocar.dgt.es/etraffic/data/camaras/267.jpg,A-92,178.0,37.1376,-4.28035
268,http://infocar.dgt.es/etraffic/data/camaras/268.jpg,A-92,146.2,37.0703,-4.59937
269,http://infocar.dgt.es/etraffic/data/camaras/269.jpg,A-92,149.25,37.0717,-4.56536
270,http://infocar.dgt.es/etraffic/data/camaras/270.jpg,A-92,160.0,37.0833,-4.45081
271,http://infocar.dgt.es/etraffic/data/camaras/271.jpg,A-92,166.5,37.1138,-4.39191
272,http://infocar.dgt.es/etraffic/data/camaras/272.jpg,A-92,169.2,37.126,-4.36817
273,http://infocar.dgt.es/etraffic/data/camaras/273.jpg,A-92,174.35,37.1239,-4.31438
274,http://infocar.dgt.es/etraffic/data/camaras/274.jpg,A-397,45.6,36.5027,-5.00383
277,http://infocar.dgt.es/etraffic/data/camaras/277.jpg,A-368,4.8,36.5873,-4.5983
278,http://infocar.dgt.es/etraffic/data/camaras/278.jpg,A-368,5.95,36.587,-4.59027
279,http://infocar.dgt.es/etraffic/data/camaras/279.jpg,MA-21,3.9,36.6808,-4.46974
280,http://infocar.dgt.es/etraffic/data/camaras/280.jpg,MA-21,2.5,36.6709,-4.47874
281,http://infocar.dgt.es/etraffic/data/camaras/281.jpg,MA-21,0.95,36.6575,-4.48609
282,http://infocar.dgt.es/etraffic/data/camaras/282.jpg,N-340,211.9,36.5587,-4.61381
283,http://infocar.dgt.es/etraffic/data/camaras/283.jpg,MA-24,4.3,36.7146,-4.33651
295,http://infocar.dgt.es/etraffic/data/camaras/295.jpg,A-44,97.025,37.4057,-3.56537
296,http://infocar.dgt.es/etraffic/data/camaras/296.jpg,GR-30,1.47,37.258,-3.65943
297,http://infocar.dgt.es/etraffic/data/camaras/297.jpg,A-92,241.0,37.2414,-3.65245
298,http://infocar.dgt.es/etraffic/data/camaras/298.jpg,GR-30,7.96,37.2095,-3.62331
299,http://infocar.dgt.es/etraffic/data/camaras/299.jpg,GR-30,15.35,37.1536,-3.61324
300,http://infocar.dgt.es/etraffic/data/camaras/300.jpg,A-44,4.03,38.0901,-3.73811
301,http://infocar.dgt.es/etraffic/data/camaras/301.jpg,A-44,77.32,37.532192,-3.636417
302,http://infocar.dgt.es/etraffic/data/camaras/302.jpg,A-44,12.575,38.0239,-3.77858
303,http://infocar.dgt.es/etraffic/data/camaras/303.jpg,A-44,17.04,37.9875,-3.79447
304,http://infocar.dgt.es/etraffic/data/camaras/304.jpg,A-44,37.1,37.817608,-3.765405
